name	RA	DE	Vmag
Sirius  6h45m08.91728s  -16¢X42¡¬58.0171"  -1.47
Rigel  05h14m32.27210s  -08¢X12¡¬05.8981"  0.13
Betelhuese  05h55m10.30536s  +07¢X24¡¬25.4304"  0.5
Bellatrix  05h25m07.86325s  +06¢X20¡¬58.9318"  1.64
Mintaka  05h32m00.40009s  -00¢X17¡¬56.7424"  2.23
Alnilam  05h36m12.8s  -01¢X12¡¬06.9" 1.69
Alnitak  05h40m45.52666s  -01¢X56¡¬34.2649"  1.77
Saiph   05h47m45.38884s  -09¢X40¡¬10.5777"  2.09
Meissa  05h35m08.27761s  +09¢X56¡¬02.9611"  3.33
Procyon  07h39m18.11950s   +05¢X13¡¬29.9552"  0.34
